RB_ID,KO_Name,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
41517,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41519,Bueb,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
4152,Hauff,,,,Dr.,,,SPD,
41521,Schorlemer,,,,,von,Freiherr,CDU/CSU,
41523,Stahl,,,,,,,SPD,Kempen
41525,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41526,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41528,Schorlemer,,,,,von,Freiherr,CDU/CSU,
41530,Mann,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
41530,Zuruf des  Schulte,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Menden
41532,Vosen,,,,,,,SPD,
41534,Stiegler,,,,,,,SPD,
41540,Grünbeck,,,,,,,FDP,
41546,Schäfer,,,,,,,SPD,Offenburg
41548,Schulte,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Menden
4155,Schäfer,,,,,,,SPD,Offenburg
41552,Jobst,,,,Dr.,,,CDU/CSU,
41557,Vogel,,,,Dr.,,,SPD,
41559,Vogel,,,,Dr.,,,SPD,
4156,Heiterkeit,,,,,,,,
4156,Schäfer,,,,,,,SPD,Offenburg
41561,Vogel,,,,Dr.,,,SPD,
41562,Vogel,,,,Dr.,,,SPD,
41563,Fuchs,weiblich,,,,,,SPD,Köln
41563,Vogel,,,,Dr.,,,SPD,
41564,Kleinert,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Marburg
41566,Schorlemer,,,,,von,Freiherr,CDU/CSU,
41568,Hornung,,,,,,,CDU/CSU,
41570,Feilcke,,,,,,,CDU/CSU,
41572,Feilcke,,,,,,,CDU/CSU,
41574,Feilcke,,,,,,,CDU/CSU,
41576,Berger,,,,,,,CDU/CSU,Berg
41578,Peter,,,,,,,SPD,Kassel
4158,Schäfer,,,,,,,SPD,Offenburg
41580,Peter,,,,,,,SPD,Kassel
41584,Kleinert,,,,,,,BÜNDNIS 90/DIE GRÜNEN,Marburg
41586,Feilcke,,,,,,,CDU/CSU,
41589,Vogel,,,,Dr.,,,SPD,
41590,Feilcke,,,,,,,CDU/CSU,
41592,Feilcke,,,,,,,CDU/CSU,
41593,Feilcke,,,,,,,CDU/CSU,
41594,Feilcke,,,,,,,CDU/CSU,
41599,Feilcke,,,,,,,CDU/CSU,
416,Reents,,,,,,,BÜNDNIS 90/DIE GRÜNEN,
