RB_ID,KO_Name,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
114198,Vogel,,,Dr.,,,SPD,
114199,Weng,,,Dr.,,,FDP,Gerlingen
114200,Müntefering,,,,,,SPD,
114202,Kittelmann,,,,,,CDU/CSU,
114203,Rüttgers,,,Dr.,,,CDU/CSU,
114205,Rüttgers,,,Dr.,,,CDU/CSU,
114207,Matthäus-Maier,,,,,,SPD,
114208,Borchert,,,,,,CDU/CSU,
114209,Rüttgers,,,,,,CDU/CSU,
114211,Rüttgers,,,Dr.,,,CDU/CSU,
114212,Müller,,,,,,CDU/CSU,Wadern
114213,Poß,,,,,,SPD,
114214,Wieczorek,,,,,,SPD,Duisburg
114216,Uellhoff,,,Dr.,,,CDU/CSU,
114218,Kalb,,,,,,CDU/CSU,
114220,Matthäus-Maier,,,,,,SPD,
114221,Urbaniak,,,,,,SPD,
114225,Poß,,,,,,SPD,
114226,Hinsken,,,,,,CDU/CSU,
114227,Waigel,,,Dr.,,,CDU/CSU,
114228,Waigel,,,Dr.,,,CDU/CSU,
114229,Larcher,,,,von,,SPD,
114230,Waigel,,,Dr.,,,CDU/CSU,
114232,Hinsken,,,,,,CDU/CSU,
114233,Wieczorek,,,,,,SPD,Duisburg
114235,Baumeister,,,,,,CDU/CSU,
114236,Matthäus-Maier,,,,,,SPD,
114239,Wiefelspütz,,,,,,SPD,
114240,Matthäus-Maier,,,,,,SPD,
114241,Hitschler,,,Dr.,,,FDP,
114242,Poß,,,,,,SPD,
114246,Roth,,,,,,CDU/CSU,Gießen
114247,Walther,,,,,,SPD,
114248,Müller,,,,,,CDU/CSU,Wadern
114250,Müller,,,,,,CDU/CSU,Wadern
114252,Kansy,,,Dr.-Ing.,,,CDU/CSU,
114253,Kansy,,,Dr.-Ing.,,,CDU/CSU,
114254,Bundesminister  Waigel,,,Dr.,,,,
114254,Gattermann,,,,,,FDP,
114255,Uldall,,,,,,CDU/CSU,
114257,Uldall,,,,,,CDU/CSU,
114258,Waigel,,,Dr.,,,CDU/CSU,
114260,Müller,,,,,,CDU/CSU,Wadern
114263,Gattermann,,,,,,FDP,
114267,Uldall,,,,,,CDU/CSU,
114268,Briefs,,,Dr.,,,DIE LINKE.,
114270,Poß,,,,,,SPD,
114271,Schmitz,,,,,,CDU/CSU,Baesweiler
114274,Gattermann,,,,,,FDP,
114275,Faltlhauser,,,Dr.,,,CDU/CSU,
114279,Bötsch,,,Dr.,,,CDU/CSU,
114280,Gansel,,,,,,SPD,
114281,Kuhlwein,,,,,,SPD,
114283,Lambsdorff,,,Dr.,,Graf,FDP,
114284,Poß,,,,,,SPD,
114286,Poß,,,,,,SPD,
114287,Voigt,,,,,,SPD,Frankfurt
114289,Vogel,,,Dr.,,,SPD,
114291,Pfeffermann,,,,,,CDU/CSU,
114295,Enkelmann,,,Dr.,,,DIE LINKE.,
114299,Voigt,,,,,,SPD,Frankfurt
114302,Duve,,,,,,SPD,
114303,Götte,,,Dr.,,,SPD,
114304,Duve,,,,,,SPD,
114307,Diederich,,,Dr.,,,SPD,Berlin
114308,Gysi,,,Dr.,,,DIE LINKE.,
114309,Vogel,,,Dr.,,,SPD,
114310,Dregger,,,Dr.,,,CDU/CSU,
114312,Duve,,,,,,SPD,
114313,Rose,,,Dr.,,,CDU/CSU,
114314,Duve,,,,,,SPD,
114315,Vogel,,,Dr.,,,SPD,
114317,Hauchler,,,Dr.,,,SPD,
114323,Hauchler,,,Dr.,,,SPD,
114328,Gysi,,,Dr.,,,DIE LINKE.,
114329,Voigt,,,,,,SPD,Frankfurt
