RB_ID,KO_Name
2168,Detlev von Larcher [SPD]
2168,und der F.D.P. - Dietmar Schütz [Oldenburg] [SPD]
2168,W. Lippold [Offenbach] [CDU/CSU]
2168,Christina Schenk [PDS]
2168,F.D.P. - Wolfgang Schäuble [CDU/CSU]
2168,Heinrich [F.D.P.]
2168,Karl Diller [SPD]
2168,und der F.D.P. - Dr. Peter Struck [SPD]
2168,dorff [F.D.P.]
2168,Dr. Erich Riedl [München] [CDU/CSU]
2168,Anke Fuchs [Köln] [SPD]
2168,Wird das Wort zur Berichterstattung gewünscht? (Dr. Heribert Blens [CDU/CSU]
2168,Dr. Dietrich Sperling [SPD]
2168,Dr. Dagmar Enkelmann [PDS]
2168,Ulrich Irmer [F.D.P.]
2168,Markus Meckel [SPD]
2168," Herr Staatsanwalt, Herr Staatsanwalt! - Freimut Duve [SPD]"
2168,Dr. R. Werner Schuster [SPD]
2168,Matthäus-Maier [SPD]
2168,Brigitte Schulte [Hameln] [SPD]
2168,DIE GRÜNEN - Dr. Wolfgang Weng [Gerlingen] [F.D.P.]
2168,Solms [F.D.P.]
2168,J. Rossmanith [CDU/CSU]
2168,Karl Diller [SPD]
2168,Karsten D. Voigt [Frankfurt] [SPD]
2168,Hans Martin Bury [SPD]
2168,Michael Glos [CDU/CSU]
2168,für die Banken! - Peter Conradi [SPD]
2168,Freimut Duve [SPD]
2168,Hans Klein [München] [CDU/CSU]
2168,Enkelmann [PDS]
2168,Dr. Helmut Haussmann [F.D.P.]
2168,SPD - Wolf-Michael Catenhusen [SPD]
2168,mehr! - Freimut Duve [SPD]
2168,Anke Fuchs [Köln] [SPD]
2168,CDU/CSU - Wolfgang Lohmann [Lüdenscheid] [CDU/CSU]
2168,abstimmen! - Dr. Peter Glotz [SPD]
2168,und der PDS - Ina Albowitz [F.D.P.]
2168,Urbaniak [SPD]
2168,Dr. Uwe Küster [SPD]
2168,Hans Büttner [Ingolstadt] [SPD]
2168, In den Wahlkampf! - Günter Verheugen [SPD]
2168,Unglaublich! - Otto Schily [SPD]
2168,Fuchs [Köln] [SPD]
2168,Ernst Hinsken [CDU/CSU]
2168,einverstanden! -  Ulrich Heinrich [F.D.P.]
2168,Anke Fuchs [Köln] [SPD]
2168,Otto Schily [SPD]
2168,mann [PDS]
2168,Dr. Wolfgang Weng [Gerlingen] [F.D.P.]
2168,Enkelmann [PDS]
2168,Lühr [F.D.P.]
2168,Klein [München] [CDU/CSU]
2168,GRÜNEN und der PDS sowie bei Abgeordneten der CDU/CSU und der F.D.P. - Wolfgang Zöller [CDU/CSU]
2168, Eben! - Otto Schily [SPD]
2168,Klaus Lennartz [SPD]
2168,PDS - Joseph Fischer [Frankfurt] [BÜNDNIS 90/DIE GRÜNEN]
2168,Schmidt [Aachen] [SPD]
2168,Zwerenz [PDS]
2168,DIE GRÜNEN - Karsten D. Voigt [Frankfurt] [SPD]
2168,Hans Klein [München] [CDU/CSU]
2168,Fuchs [Verl] [SPD]
